T;join
-6;11
-5.75;11
-5.5;11
-5.25;11
-5;11
-4.75;11
-4.5;11
-4.25;11
-4;11
-3.75;11
-3.5;11
-3.25;11
-3;11
-2.75;11
-2.5;11
-2.25;11
-2;11
-1.75;11
-1.5;11
-1.25;11
-1;11
-0.75;11
-0.5;11
-0.25;11
0;11
0.25;11
0.5;11
0.75;11
1;11
1.25;11
1.5;11
1.75;11
2;11
2.25;11
2.5;11
2.75;11
3;11
3.25;11
3.5;11
3.75;11
4;11
4.25;11
4.5;11
4.75;11
5;11
5.25;11
5.5;11
5.75;11
6;11
6.25;11
6.5;11
-6.5;12
-6.25;12
-6;12
-5.75;12
-5.5;12
-5.25;12
-5;12
-4.75;12
-4.5;12
-4.25;12
-4;12
-3.75;12
-3.5;12
-3.25;12
-3;12
-2.75;12
-2.5;12
-2.25;12
-2;12
-1.75;12
-1.5;12
-1.25;12
-1;12
-0.75;12
-0.5;12
-0.25;12
0;12
0.25;12
0.5;12
0.75;12
1;12
1.25;12
1.5;12
1.75;12
2;12
2.25;12
2.5;12
2.75;12
3;12
3.25;12
3.5;12
3.75;12
4;12
4.25;12
4.5;12
4.75;12
5;12
5.25;12
5.5;12
5.75;12
6;12
6.25;12
6.5;12
-6.5;13
-6.25;13
-6;13
-5.75;13
-5.5;13
-5.25;13
-5;13
-4.75;13
-4.5;13
-4.25;13
-4;13
-3.75;13
-3.5;13
-3.25;13
-3;13
-2.75;13
-2.5;13
-2.25;13
-2;13
-1.75;13
-1.5;13
-1.25;13
-1;13
-0.75;13
-0.5;13
-0.25;13
0;13
0.25;13
0.5;13
0.75;13
1;13
1.25;13
1.5;13
1.75;13
2;13
2.25;13
2.5;13
2.75;13
3;13
3.25;13
3.5;13
3.75;13
4;13
4.25;13
4.5;13
4.75;13
5;13
5.25;13
5.5;13
5.75;13
6;13
6.25;13
6.5;13
-6.5;14
-6.25;14
-6;14
-5.75;14
-5.5;14
-5.25;14
-5;14
-4.75;14
-4.5;14
-4.25;14
-4;14
-3.75;14
-3.5;14
-3.25;14
-3;14
-2.75;14
-2.5;14
-2.25;14
-2;14
-1.75;14
-1.5;14
-1.25;14
-1;14
-0.75;14
-0.5;14
-0.25;14
0;14
0.25;14
0.5;14
0.75;14
1;14
1.25;14
1.5;14
1.75;14
2;14
2.25;14
2.5;14
2.75;14
3;14
3.25;14
3.5;14
3.75;14
4;14
4.25;14
4.5;14
4.75;14
5;14
5.25;14
5.5;14
5.75;14
6;14
6.25;14
6.5;14
-6.5;15
-6.25;15
-6;15
-5.75;15
-5.5;15
-5.25;15
-5;15
-4.75;15
-4.5;15
-4.25;15
-4;15
-3.75;15
-3.5;15
-3.25;15
-3;15
-2.75;15
-2.5;15
-2.25;15
-2;15
-1.75;15
-1.5;15
-1.25;15
-1;15
-0.75;15
-0.5;15
-0.25;15
0;15
0.25;15
0.5;15
0.75;15
1;15
1.25;15
1.5;15
1.75;15
2;15
2.25;15
2.5;15
2.75;15
3;15
3.25;15
3.5;15
3.75;15
4;15
4.25;15
4.5;15
4.75;15
5;15
5.25;15
5.5;15
5.75;15
6;15
6.25;15
6.5;15
-6.5;16
-6.25;16
-6;16
-5.75;16
-5.5;16
-5.25;16
-5;16
-4.75;16
-4.5;16
-4.25;16
-4;16
-3.75;16
-3.5;16
-3.25;16
-3;16
-2.75;16
-2.5;16
-2.25;16
-2;16
-1.75;16
-1.5;16
-1.25;16
-1;16
-0.75;16
-0.5;16
-0.25;16
0;16
0.25;16
0.5;16
0.75;16
1;16
1.25;16
1.5;16
1.75;16
2;16
2.25;16
2.5;16
2.75;16
3;16
3.25;16
3.5;16
3.75;16
4;16
4.25;16
4.5;16
4.75;16
5;16
5.25;16
5.5;16
5.75;16
6;16
6.25;16
6.5;16
-6.5;17
-6.25;17
-6;17
-5.75;17
-5.5;17
-5.25;17
-5;17
-4.75;17
-4.5;17
-4.25;17
-4;17
-3.75;17
-3.5;17
-3.25;17
-3;17
-2.75;17
-2.5;17
-2.25;17
-2;17
-1.75;17
-1.5;17
-1.25;17
-1;17
-0.75;17
-0.5;17
-0.25;17
0;17
0.25;17
0.5;17
0.75;17
1;17
1.25;17
1.5;17
1.75;17
2;17
2.25;17
2.5;17
2.75;17
3;17
3.25;17
3.5;17
3.75;17
4;17
4.25;17
4.5;17
4.75;17
5;17
5.25;17
5.5;17
5.75;17
6;17
6.25;17
6.5;17
-6.5;18
-6.25;18
-6;18
-5.75;18
-5.5;18
-5.25;18
-5;18
-4.75;18
-4.5;18
-4.25;18
-4;18
-3.75;18
-3.5;18
-3.25;18
-3;18
-2.75;18
-2.5;18
-2.25;18
-2;18
-1.75;18
-1.5;18
-1.25;18
-1;18
-0.75;18
-0.5;18
-0.25;18
0;18
0.25;18
0.5;18
0.75;18
1;18
1.25;18
1.5;18
1.75;18
2;18
2.25;18
2.5;18
2.75;18
3;18
3.25;18
3.5;18
3.75;18
4;18
4.25;18
4.5;18
4.75;18
5;18
5.25;18
5.5;18
5.75;18
6;18
6.25;18
6.5;18
-6.5;19
-6.25;19
-6;19
-5.75;19
-5.5;19
-5.25;19
-5;19
-4.75;19
-4.5;19
-4.25;19
-4;19
-3.75;19
-3.5;19
-3.25;19
-3;19
-2.75;19
-2.5;19
-2.25;19
-2;19
-1.75;19
-1.5;19
-1.25;19
-1;19
-0.75;19
-0.5;19
-0.25;19
0;19
0.25;19
0.5;19
0.75;19
1;19
1.25;19
1.5;19
1.75;19
2;19
2.25;19
2.5;19
2.75;19
3;19
3.25;19
3.5;19
3.75;19
4;19
4.25;19
4.5;19
4.75;19
5;19
5.25;19
5.5;19
5.75;19
6;19
6.25;19
6.5;19
-6.5;20
-6.25;20
-6;20
-5.75;20
-5.5;20
-5.25;20
-5;20
-4.75;20
-4.5;20
-4.25;20
-4;20
-3.75;20
-3.5;20
-3.25;20
-3;20
-2.75;20
-2.5;20
-2.25;20
-2;20
-1.75;20
-1.5;20
-1.25;20
-1;20
-0.75;20
-0.5;20
-0.25;20
0;20
0.25;20
0.5;20
0.75;20
1;20
1.25;20
1.5;20
1.75;20
2;20
2.25;20
2.5;20
2.75;20
3;20
3.25;20
3.5;20
3.75;20
4;20
4.25;20
4.5;20
4.75;20
5;20
5.25;20
5.5;20
5.75;20
6;20
6.25;20
6.5;20
-6.5;21
-6.25;21
-6;21
-5.75;21
-5.5;21
-5.25;21
-5;21
-4.75;21
-4.5;21
-4.25;21
-4;21
-3.75;21
-3.5;21
-3.25;21
-3;21
-2.75;21
-2.5;21
-2.25;21
-2;21
-1.75;21
-1.5;21
-1.25;21
-1;21
-0.75;21
-0.5;21
-0.25;21
0;21
0.25;21
0.5;21
0.75;21
1;21
1.25;21
1.5;21
1.75;21
2;21
2.25;21
2.5;21
2.75;21
3;21
3.25;21
3.5;21
3.75;21
4;21
4.25;21
4.5;21
4.75;21
5;21
5.25;21
5.5;21
5.75;21
6;21
6.25;21
6.5;21
-6.5;22
-6.25;22
-6;22
-5.75;22
-5.5;22
-5.25;22
-5;22
-4.75;22
-4.5;22
-4.25;22
-4;22
-3.75;22
-3.5;22
-3.25;22
-3;22
-2.75;22
-2.5;22
-2.25;22
-2;22
-1.75;22
-1.5;22
-1.25;22
-1;22
-0.75;22
-0.5;22
-0.25;22
0;22
0.25;22
0.5;22
0.75;22
1;22
1.25;22
1.5;22
1.75;22
2;22
2.25;22
2.5;22
2.75;22
3;22
3.25;22
3.5;22
3.75;22
4;22
4.25;22
4.5;22
4.75;22
5;22
5.25;22
5.5;22
5.75;22
6;22
6.25;22
6.5;22
-6.5;23
-6.25;23
-6;23
-5.75;23
-5.5;23
-5.25;23
-5;23
-4.75;23
-4.5;23
-4.25;23
-4;23
-3.75;23
-3.5;23
-3.25;23
-3;23
-2.75;23
-2.5;23
-2.25;23
-2;23
-1.75;23
-1.5;23
-1.25;23
-1;23
-0.75;23
-0.5;23
-0.25;23
0;23
0.25;23
0.5;23
0.75;23
1;23
1.25;23
1.5;23
1.75;23
2;23
2.25;23
2.5;23
2.75;23
3;23
3.25;23
3.5;23
3.75;23
4;23
4.25;23
4.5;23
4.75;23
5;23
5.25;23
5.5;23
5.75;23
6;23
6.25;23
6.5;23
-6.5;24
-6.25;24
-6;24
-5.75;24
-5.5;24
-5.25;24
-5;24
-4.75;24
-4.5;24
-4.25;24
-4;24
