rank_pos;word;rank_neg;count_pos;count_neg;join
82;quite;35;6782;11621;216
286;rate;225;1345;2808;217
242;ready;203;1872;2997;218
266;real;300;1535;1524;219
33;reception;17;15324;16022;220
209;receptionist;172;2365;3572;221
63;recommend;260;8307;2187;222
235;request;222;1969;2826;223
20;restaurant;30;25366;12062;224
61;right;185;8618;3258;225
168;road;192;3220;3153;226
163;roof;285;3316;1747;227
3;room;1;175029;202833;228
184;safe;281;2716;1793;229
260;say;160;1599;4055;230
221;second;171;2205;3604;231
172;see;155;3122;4188;232
140;selection;275;4040;1876;233
283;served;273;1358;1907;234
18;service;13;26472;19876;235
290;several;277;1322;1863;236
113;short;271;4843;1918;237
39;shower;10;12781;21042;238
246;side;122;1784;5336;239
264;single;107;1562;5736;240
212;site;269;2325;2021;241
52;size;82;10045;6780;242
187;sleep;84;2687;6687;243
44;small;3;11309;48083;244
272;soft;246;1490;2424;245
136;spa;190;4119;3186;246
138;space;97;4087;6061;247
137;special;293;4103;1591;248
1;staff;4;190150;38347;249
130;standard;109;4214;5676;250
185;star;53;2715;9397;251
15;station;144;31322;4437;252
16;stay;16;31237;17007;253
62;stayed;80;8319;6860;254
166;staying;198;3284;3053;255
237;still;81;1944;6837;256
90;stop;283;6009;1769;257
59;street;99;8950;5943;258
112;suite;238;4853;2536;259
236;sure;218;1960;2861;260
252;swimming;262;1708;2161;261
158;take;108;3526;5681;262
179;taxi;177;2877;3456;263
101;tea;57;5390;9185;264
111;thing;61;4867;8538;265
276;think;91;1442;6241;266
165;though;83;3307;6725;267
265;thought;179;1555;3419;268
41;time;8;11667;22644;269
258;took;100;1612;5906;270
97;top;188;5520;3240;271
196;towel;118;2565;5391;272
58;train;243;9214;2513;273
88;tram;284;6305;1759;274
153;trip;274;3688;1880;275
43;tube;288;11433;1675;276
121;two;39;4493;10765;277
131;upgrade;231;4178;2690;278
110;upgraded;294;4873;1584;279
125;use;63;4410;8264;280
280;used;159;1408;4059;281
48;value;170;10873;3611;282
23;view;40;21979;10401;283
114;visit;298;4841;1539;284
25;walk;104;20153;5860;285
46;walking;258;11125;2199;286
170;want;164;3163;3789;287
213;wanted;176;2310;3471;288
124;warm;151;4438;4218;289
105;water;26;5207;13794;290
120;way;85;4594;6602;291
233;weekend;289;2000;1675;292
152;went;128;3738;5071;293
204;whole;235;2422;2578;294
79;wifi;29;6958;12137;295
155;window;23;3600;14728;296
200;without;127;2475;5108;297
189;work;25;2615;13885;298
279;working;75;1425;7234;299
192;worth;199;2585;3031;300
208;year;239;2366;2536;301
